run,hop,current_x,event,event_time,raw_delta_x,used_delta_x,next_x
0,150,20706.3,hop_summary,,5.03215,5.03215,20711.3
0,151,20711.3,coalescence,44329.2,,,
0,151,20711.3,hop_summary,,57.2536,57.2536,20768.6
0,152,20768.6,coalescence_fallback,12493.5,,,
0,152,20768.6,hop_summary,,38.6541,38.6541,20807.2
0,153,20807.2,coalescence_fallback,27301.6,,,
0,153,20807.2,hop_summary,,368.665,368.665,21175.9
0,154,21175.9,coalescence_fallback,16627.7,,,
0,154,21175.9,hop_summary,,74.4642,74.4642,21250.4
0,155,21250.4,coalescence_fallback,17775.4,,,
0,155,21250.4,hop_summary,,209.902,209.902,21460.3
0,156,21460.3,coalescence_fallback,55579.3,,,
0,156,21460.3,hop_summary,,82.6593,82.6593,21542.9
0,157,21542.9,coalescence_fallback,39985.5,,,
0,157,21542.9,hop_summary,,89.7962,89.7962,21632.7
0,158,21632.7,coalescence_fallback,56067.6,,,
0,158,21632.7,hop_summary,,345.158,345.158,21977.9
0,159,21977.9,coalescence_fallback,26723.1,,,
0,159,21977.9,hop_summary,,34.9116,34.9116,22012.8
0,160,22012.8,coalescence_fallback,37438.6,,,
0,160,22012.8,hop_summary,,272.582,272.582,22285.4
0,161,22285.4,coalescence_fallback,20917.1,,,
0,161,22285.4,hop_summary,,32.308,32.308,22317.7
0,162,22317.7,coalescence_fallback,37797.1,,,
0,162,22317.7,hop_summary,,112.982,112.982,22430.7
0,163,22430.7,coalescence_fallback,80968.7,,,
0,163,22430.7,hop_summary,,100.864,100.864,22531.5
0,164,22531.5,coalescence_fallback,128801,,,
0,164,22531.5,hop_summary,,23.618,23.618,22555.1
0,165,22555.1,coalescence_fallback,152407,,,
0,165,22555.1,hop_summary,,24.606,24.606,22579.8
0,166,22579.8,coalescence_fallback,172980,,,
0,166,22579.8,hop_summary,,43.703,43.703,22623.5
0,167,22623.5,coalescence,74750.4,,,
0,167,22623.5,hop_summary,,36.5973,36.5973,22660.1
0,168,22660.1,coalescence_fallback,106511,,,
0,168,22660.1,hop_summary,,120.28,120.28,22780.3
0,169,22780.3,coalescence_fallback,85144.7,,,
0,169,22780.3,hop_summary,,118.806,118.806,22899.1
0,170,22899.1,coalescence,57522.7,,,
0,170,22899.1,hop_summary,,12.947,12.947,22912.1
0,171,22912.1,coalescence_fallback,53444.1,,,
0,171,22912.1,hop_summary,,231.238,231.238,23143.3
0,172,23143.3,coalescence,31770.5,,,
0,172,23143.3,hop_summary,,43.5705,43.5705,23186.9
0,173,23186.9,coalescence,27997.2,,,
0,173,23186.9,hop_summary,,30.5302,30.5302,23217.4
0,174,23217.4,coalescence_fallback,39568,,,
0,174,23217.4,hop_summary,,235.073,235.073,23452.5
0,175,23452.5,coalescence_fallback,62346.1,,,
0,175,23452.5,hop_summary,,287.81,287.81,23740.3
0,176,23740.3,coalescence_fallback,63360.3,,,
0,176,23740.3,hop_summary,,92.884,92.884,23833.2
0,177,23833.2,coalescence_fallback,89211,,,
0,177,23833.2,hop_summary,,129.242,129.242,23962.4
0,178,23962.4,coalescence_fallback,87406.8,,,
0,178,23962.4,hop_summary,,6.1468,6.1468,23968.6
0,179,23968.6,coalescence_fallback,64011.2,,,
0,179,23968.6,hop_summary,,0.294234,0.294234,23968.9
0,180,23968.9,coalescence_fallback,111050,,,
0,180,23968.9,hop_summary,,50.729,50.729,24019.6
0,181,24019.6,coalescence,30328.7,,,
0,181,24019.6,hop_summary,,9.59641,9.59641,24029.2
0,182,24029.2,coalescence,11981.3,,,
0,182,24029.2,hop_summary,,464.944,464.944,24494.1
0,183,24494.1,coalescence_fallback,16455.3,,,
0,183,24494.1,hop_summary,,446.527,446.527,24940.7
0,184,24940.7,coalescence_fallback,24889.4,,,
0,184,24940.7,hop_summary,,184.492,184.492,25125.2
0,185,25125.2,coalescence_fallback,23619,,,
0,185,25125.2,hop_summary,,1.1134,1.1134,25126.3
0,186,25126.3,coalescence_fallback,36393.3,,,
0,186,25126.3,hop_summary,,257.299,257.299,25383.6
0,187,25383.6,coalescence_fallback,36596.4,,,
0,187,25383.6,hop_summary,,90.3023,90.3023,25473.9
0,188,25473.9,coalescence_fallback,24736.7,,,
0,188,25473.9,hop_summary,,366.253,366.253,25840.1
0,189,25840.1,coalescence,16715.3,,,
0,189,25840.1,hop_summary,,624.566,624.566,26464.7
0,190,26464.7,coalescence_fallback,45002.7,,,
0,190,26464.7,hop_summary,,1672.42,1672.42,28137.1
0,191,28137.1,coalescence_fallback,54168.5,,,
0,191,28137.1,hop_summary,,24.3933,24.3933,28161.5
0,192,28161.5,coalescence_fallback,53231.1,,,
0,192,28161.5,hop_summary,,92.9302,92.9302,28254.4
0,193,28254.4,coalescence_fallback,61733.2,,,
0,193,28254.4,hop_summary,,133.464,133.464,28387.9
0,194,28387.9,coalescence,26451.6,,,
0,194,28387.9,hop_summary,,11.0375,11.0375,28398.9
0,195,28398.9,coalescence_fallback,39424.1,,,
0,195,28398.9,hop_summary,,69.3127,69.3127,28468.3
0,196,28468.3,coalescence_fallback,58957.9,,,
0,196,28468.3,hop_summary,,50.2048,50.2048,28518.5
0,197,28518.5,coalescence_fallback,44544.7,,,
0,197,28518.5,hop_summary,,9.79982,9.79982,28528.3
0,198,28528.3,coalescence,26577.2,,,
0,198,28528.3,hop_summary,,124.852,124.852,28653.1
0,199,28653.1,coalescence_fallback,65980.8,,,
0,199,28653.1,hop_summary,,59.7142,59.7142,28712.8
0,200,28712.8,coalescence_fallback,72875.8,,,
0,200,28712.8,hop_summary,,27.1791,27.1791,28740
0,201,28740,coalescence,52451.2,,,
0,201,28740,hop_summary,,73.0583,73.0583,28813.1
0,202,28813.1,coalescence_fallback,40407.9,,,
0,202,28813.1,hop_summary,,5.7696,5.7696,28818.8
0,203,28818.8,coalescence,30870.1,,,
0,203,28818.8,hop_summary,,81.0182,81.0182,28899.8
0,204,28899.8,coalescence,16109.9,,,
0,204,28899.8,hop_summary,,36.6063,36.6063,28936.5
0,205,28936.5,coalescence_fallback,24327.9,,,
0,205,28936.5,hop_summary,,65.0401,65.0401,29001.5
0,206,29001.5,coalescence_fallback,48087.2,,,
0,206,29001.5,hop_summary,,173.15,173.15,29174.6
0,207,29174.6,coalescence_fallback,47674.2,,,
0,207,29174.6,hop_summary,,81.266,81.266,29255.9
0,208,29255.9,coalescence_fallback,48970.4,,,
0,208,29255.9,hop_summary,,1.31954,1.31954,29257.2
0,209,29257.2,coalescence_fallback,27927.3,,,
